"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 14:55:08 IST 2022","Fri Sep 30 14:55:08 IST 2022","0","","Orange Hrm Site1: login1","","Orange Hrm Site1: login1","","",""
"passed","Fri Sep 30 14:54:55 IST 2022","Fri Sep 30 14:55:03 IST 2022","7598","","Orange Hrm Site sample: iframe","","Orange Hrm Site sample: iframe","Given open an herokuapp","Given open an herokuapp",""
"passed","Fri Sep 30 14:55:00 IST 2022","Fri Sep 30 14:55:00 IST 2022","1","","WebUniversity With Multitab: Varifying the contactUs with valid data","","WebUniversity With Multitab: Varifying the contactUs with valid data","","",""
"passed","Mon Oct 03 15:42:41 IST 2022","Mon Oct 03 15:42:41 IST 2022","98","","Automating for purchase scenario: Login with created user and purchase item using credit card and coupon apply","","Automating for purchase scenario: Login with created user and purchase item using credit card and coupon apply","When User enter created user credential and click on login","When User enter created user credential and click on login",""
"passed","Mon Oct 03 11:38:39 IST 2022","Mon Oct 03 11:39:10 IST 2022","30703","","Orange Hrm Site sample: login","","Orange Hrm Site sample: login","Given open the login page","Given open the login page",""
"passed","Mon Oct 03 15:42:41 IST 2022","Mon Oct 03 15:42:48 IST 2022","6629","","Automating for purchase scenario: Login with created user and purchase item using credit card and coupon apply","","Automating for purchase scenario: Login with created user and purchase item using credit card and coupon apply","Then user get user name with welcome text","Then user get user name with welcome text",""
"passed","Fri Sep 30 14:55:08 IST 2022","Fri Sep 30 14:55:08 IST 2022","69","","Orange Hrm Site sample: iframe","","Orange Hrm Site sample: iframe","Then assert the h3 tag","Then assert the h3 tag",""
"passed","Fri Sep 30 14:55:03 IST 2022","Fri Sep 30 14:55:06 IST 2022","3220","","Orange Hrm Site1: login1","","Orange Hrm Site1: login1","When valid ""Admin"" and ""admin123"" is entered","When valid ""Admin"" and ""admin123"" is entered",""
"passed","Fri Sep 30 14:54:44 IST 2022","Fri Sep 30 14:54:45 IST 2022","949","","Form Filling with POM: Form with implimenting POM","","Form Filling with POM: Form with implimenting POM","Given user open the url of register form","Given user open the url of register form",""
"passed","Fri Sep 30 14:55:14 IST 2022","Fri Sep 30 14:55:21 IST 2022","6956","","purchase the product: TC-003 Add product to Online Cart and checkout","","purchase the product: TC-003 Add product to Online Cart and checkout","Then I shall validate shopping cart","Then I shall validate shopping cart",""
"passed","Mon Oct 03 15:42:48 IST 2022","Mon Oct 03 15:43:12 IST 2022","23790","","Automating for purchase scenario: Login with created user and purchase item using credit card and coupon apply","","Automating for purchase scenario: Login with created user and purchase item using credit card and coupon apply","When select the product and apply coupon purchase product","When select the product and apply coupon purchase product",""
"passed","Fri Sep 30 14:54:44 IST 2022","Fri Sep 30 14:54:48 IST 2022","3585","","File-Uploading: verifying file uploading in wdio","","File-Uploading: verifying file uploading in wdio","Given user open herokuapp with fileUploading","Given user open herokuapp with fileUploading",""
"passed","Fri Sep 30 14:54:50 IST 2022","Fri Sep 30 14:54:57 IST 2022","6895","","purchase the product: TC-003 Add product to Online Cart and checkout","","purchase the product: TC-003 Add product to Online Cart and checkout","When Login using credentials","When Login using credentials",""
"passed","Fri Sep 30 14:54:49 IST 2022","Fri Sep 30 14:54:50 IST 2022","1303","","WebUniversity With Multitab: Varifying the contactUs with valid data","","WebUniversity With Multitab: Varifying the contactUs with valid data","Given open the webuniversity page","Given open the webuniversity page",""
"passed","Fri Sep 30 14:54:50 IST 2022","Fri Sep 30 14:54:50 IST 2022","0","","amazon item: click o eklement from search bar","","amazon item: click o eklement from search bar","","",""
"passed","Fri Sep 30 14:54:55 IST 2022","Fri Sep 30 14:54:55 IST 2022","93","","login multiple user: passing multiple user from feature file","","login multiple user: passing multiple user from feature file","When user valid ""akshay.s.bhalke@gmail.com"" and ""Akshay@123"" is entered1","When user valid ""akshay.s.bhalke@gmail.com"" and ""Akshay@123"" is entered1",""
"passed","Fri Sep 30 14:54:50 IST 2022","Fri Sep 30 14:54:50 IST 2022","0","","amazon item: click o eklement from search bar","","amazon item: click o eklement from search bar","Then results visible related to 13","Then results visible related to 13",""
"passed","Fri Sep 30 14:54:46 IST 2022","Fri Sep 30 14:54:47 IST 2022","442","","Form Filling with POM: Form with implimenting POM","","Form Filling with POM: Form with implimenting POM","When user can login with created credential","When user can login with created credential",""
"passed","Fri Sep 30 14:54:48 IST 2022","Fri Sep 30 14:54:48 IST 2022","0","","File-Uploading: verifying file uploading in wdio","","File-Uploading: verifying file uploading in wdio","","",""
"passed","Fri Sep 30 14:55:02 IST 2022","Fri Sep 30 14:55:09 IST 2022","7179","","login multiple user: passing multiple user from feature file","","login multiple user: passing multiple user from feature file","Then he will get dashboard","Then he will get dashboard",""
"passed","Fri Sep 30 14:55:23 IST 2022","Fri Sep 30 14:55:23 IST 2022","0","","use action: varifying keypress","","use action: varifying keypress","","",""
"passed","Mon Oct 03 11:39:13 IST 2022","Mon Oct 03 11:39:13 IST 2022","0","","Orange Hrm Site sample: login","","Orange Hrm Site sample: login","","",""
"passed","Fri Sep 30 14:55:12 IST 2022","Fri Sep 30 14:55:15 IST 2022","3201","","use action: move on functionality","","use action: move on functionality","When move on at account&List","When move on at account&List",""
